City,State,Temp,lat,lon
Albuquerque,NM,57.2,35.0841034,-106.6509851
Anchorage,AK,37.1,61.2163129,-149.8948523
Atlanta,GA,62.3,33.7490987,-84.3901849
Austin,TX,69.3,30.2711286,-97.7436995
Baltimore,MD,55.6,39.2908816,-76.610759
Boise,ID,52.5,43.61656,-116.200835
Boston,MA,51.7,42.3602534,-71.0582912
Charlotte,NC,60.9,35.2270869,-80.8431268
Chicago,IL,51.4,41.8755616,-87.6244212
Columbus,OH,53.0,39.9622601,-83.0007065
Dallas,TX,66.2,32.7762719,-96.7968559
Denver,CO,50.7,39.7392364,-104.9848623
Detroit,MI,50.0,42.3315509,-83.0466403
El Paso,TX,64.6,31.7600372,-106.487287
Fairbanks,AK,27.9,64.837845,-147.716675
Houston,TX,69.4,29.7589382,-95.3676974
Indianapolis,IN,53.2,39.7683331,-86.1583502
Jacksonville,FL,68.5,30.3321838,-81.655651
Kansas City,MO,54.5,39.100105,-94.5781416
Las Vegas,NV,68.5,36.1662859,-115.149225
Los Angeles,CA,63.3,34.0536834,-118.2427669
Louisville,KY,57.1,38.2542376,-85.759407
Memphis,TN,63.0,35.1490215,-90.0516285
Miami,FL,76.9,25.7742658,-80.1936589
Milwaukee,WI,48.1,43.0349931,-87.922497
Minneapolis,MN,46.1,44.9772995,-93.2654692
Nashville,TN,59.8,36.1622296,-86.7743531
New Orleans,LA,69.2,29.9499323,-90.0701156
New York City,NY,55.3,40.7308619,-73.9871558
Oklahoma City,OK,60.6,35.4729886,-97.5170536
Omaha,NE,51.1,41.2587317,-95.9378732
Philadelphia,PA ,55.8,39.9524152,-75.1635755
Phoenix,AZ,75.0,33.4485866,-112.0773456
Pittsburgh,PA,51.4,40.4416941,-79.9900861
Portland,OR,54.4,45.5202471,-122.6741949
Sacramento,CA,61.3,38.5815719,-121.4943996
Salt Lake City,UT,52.9,40.7670126,-111.8904308
San Antonio,TX,69.5,29.4246002,-98.4951405
San Diego,CA,64.1,32.7174209,-117.1627714
San Francisco,CA,58.2,37.7792808,-122.4192363
Seattle,WA,52.4,47.6038321,-122.3300624
St. Louis,MO,57.0,38.6268039,-90.1994097
Tampa,FL,73.2,27.9477595,-82.458444
Tucson,AZ,69.7,32.2218917,-110.9262353
Virginia Beach,VA,60.5,36.8529841,-75.9774183
Wichita,KS,57.0,37.6922361,-97.3375448
